id,image_url,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,video_url,views
600,,,,4,600,16/10/2016,2016,VABF16,28,Treehouse of Horror XXVII,,,
599,,,,3,599,09/10/2016,2016,VABF17,28,"The Town""[205]",,,
598,,,,2,598,02/10/2016,2016,VABF18,28,"Friends and Family""[203]",,,
597,http://static-media.fxx.com/img/FX_Networks_-_FXX/605/927/Simpsons_2720_MontyCircus_Sc1064_hires2_hires2_1280x720_772657731562.jpg,6.6,104,1,597,25/09/2016,2016,VABF20,28,Monty Burns' Fleeing Circus,3.36,http://www.simpsonsworld.com/video/772654659902,994
596,http://static-media.fxx.com/img/FX_Networks_-_FXX/88/335/fox_TheSimpsons_VABF15_hulu.jpg,6.9,210,22,596,22/05/2016,2016,VABF15,27,Orange Is the New Yellow,2.54,http://www.simpsonsworld.com/video/772111939897,276
595,http://static-media.fxx.com/img/FX_Networks_-_FXX/973/247/fox_TheSimpsons_VABF13_hulu.jpg,6.4,227,21,595,15/05/2016,2016,VABF13,27,Simprovised,2.8,http://www.simpsonsworld.com/video/770892355976,228
594,http://static-media.fxx.com/img/FX_Networks_-_FXX/79/51/fox_TheSimpsons_VABF14_hulu.jpg,6.7,193,20,594,08/05/2016,2016,VABF14,27,To Courier with Love,2.52,http://www.simpsonsworld.com/video/772102211921,192
593,http://static-media.fxx.com/img/FX_Networks_-_FXX/975/199/simp_Fland_Canyon_VABF12Sc2032_hires2.jpg,7.1,229,19,593,24/04/2016,2016,VABF12,27,Fland Canyon,2.77,http://www.simpsonsworld.com/video/770894403718,192
592,http://static-media.fxx.com/img/FX_Networks_-_FXX/974/723/fox_TheSimpsons_VABF11_hulu.jpg,6.4,228,18,592,10/04/2016,2016,VABF11,27,How Lisa Got Her Marge Back,2.55,http://www.simpsonsworld.com/video/770893891750,188
591,http://static-media.fxx.com/img/FX_Networks_-_FXX/974/722/Simpsons_27_17.jpg,6.5,246,17,591,03/04/2016,2016,VABF10,27,The Burns Cage,2.32,http://www.simpsonsworld.com/video/770893891557,190
590,http://static-media.fxx.com/img/FX_Networks_-_FXX/972/271/simp_The_Marg-ian_Chronicles_VABF09-Sc3022_hires2.jpg,7.3,262,16,590,13/03/2016,2016,VABF09,27,The Marge-ian Chronicles,3.07,http://www.simpsonsworld.com/video/770891331927,201
589,http://static-media.fxx.com/img/FX_Networks_-_FXX/553/827/simp_VABF08_Sc_1043_hires2.jpg,6.3,233,15,589,06/03/2016,2016,VABF08,27,Lisa the Veterinarian,3.09,http://www.simpsonsworld.com/video/770452547696,174
